Case study,size,K-means,HC,KrSa,CoTr,DeCaf,DeLag
E-Shopper,4.9,1.4,1.3,9.2,7.2,0.4,17.6
E-Shopper,9.9,2.2,2.0,17.8,15.5,0.6,34.1
E-Shopper,20.0,2.6,6.8,58.0,57.5,1.0,88.3
E-Shopper,40.1,3.1,25.3,351.0,349.2,1.8,356.1
E-Shopper,80.2,4.4,104.4,2428.5,2437.5,4.0,2117.5
Train Ticket,5.6,2.5,2.0,258.5,21.7,0.5,48.5
Train Ticket,11.2,2.7,3.4,318.3,23.8,0.7,44.0
Train Ticket,22.6,3.5,10.1,406.5,101.7,1.4,113.9
Train Ticket,45.2,4.7,64.7,1015.3,591.4,2.7,622.9
Train Ticket,90.4,7.7,380.0,4325.6,4140.3,6.1,3548.5
